timestamp millis,Plantar Pressure Voltage
26909,"0.43,0.22,0.09,0.13,0.36,0.22,0.20,0.01,0.43,0.35,0.33,0.16,0.00,0.53,0.41,0.39,0.20,0.03,0.60,0.30,0.35,0.21,0.08,0.32,0.19,0.25,0.19,0.10,0.09,0.03,0.05,0.13,0.20,0.03,0.01,0.04,0.14,0.03,0.03,0.03,0.10,0.04,0.01,0.05,0.16,0.03,0.01,0.00,0.06,0.04,0.01,0.03,0.04,0.05,0.01,0.00,0.04,0.10,0.00,0.00,0.06,0.12,0.06,0.02"
26976,"0.36,0.16,0.06,0.63,0.18,0.05,0.11,0.08,0.38,0.16,0.09,0.06,0.18,0.46,0.30,0.24,0.13,0.07,0.53,0.25,0.26,0.13,0.06,0.46,0.21,0.18,0.09,0.05,0.08,0.04,0.05,0.06,0.06,0.01,0.00,0.03,0.08,0.03,0.00,0.01,0.05,0.02,0.01,0.00,0.08,0.02,0.00,0.00,0.06,0.02,0.01,0.01,0.02,0.03,0.00,0.00,0.04,0.09,0.00,0.00,0.07,0.12,0.00,0.00"
27041,"0.07,0.03,0.03,0.02,0.07,0.02,0.02,0.00,0.04,0.05,0.05,0.02,0.00,0.16,0.12,0.08,0.03,0.00,0.25,0.06,0.10,0.06,0.02,0.12,0.02,0.05,0.09,0.06,0.07,0.02,0.02,0.04,0.05,0.03,0.03,0.02,0.05,0.03,0.01,0.01,0.05,0.02,0.01,0.00,0.10,0.00,0.02,0.03,0.08,0.08,0.06,0.01,0.04,0.22,0.11,0.00,0.03,0.16,0.05,0.00,0.07,0.15,0.02,0.00"
27109,"0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.00,0.04,0.05,0.03,0.00,0.00,0.18,0.08,0.06,0.01,0.00,0.33,0.06,0.08,0.05,0.01,0.21,0.02,0.06,0.09,0.04,0.08,0.02,0.02,0.04,0.04,0.03,0.03,0.02,0.05,0.04,0.01,0.01,0.05,0.03,0.01,0.00,0.10,0.02,0.02,0.02,0.08,0.09,0.07,0.01,0.04,0.21,0.12,0.00,0.03,0.15,0.05,0.00,0.09,0.17,0.02,0.01"
27173,"0.04,0.03,0.01,0.02,0.03,0.00,0.01,0.02,0.06,0.04,0.02,0.00,0.00,0.18,0.09,0.08,0.01,0.01,0.31,0.06,0.09,0.04,0.01,0.20,0.04,0.07,0.08,0.02,0.10,0.02,0.03,0.06,0.04,0.04,0.00,0.01,0.04,0.04,0.01,0.01,0.05,0.03,0.00,0.00,0.12,0.04,0.02,0.00,0.06,0.12,0.09,0.00,0.04,0.22,0.13,0.00,0.02,0.18,0.08,0.01,0.08,0.22,0.02,0.00"
27241,"0.04,0.03,0.02,0.02,0.02,0.00,0.01,0.01,0.04,0.03,0.00,0.01,0.00,0.16,0.09,0.09,0.03,0.00,0.30,0.07,0.08,0.05,0.00,0.20,0.04,0.08,0.09,0.03,0.09,0.03,0.04,0.05,0.05,0.04,0.00,0.02,0.05,0.04,0.01,0.01,0.04,0.02,0.01,0.03,0.12,0.04,0.02,0.00,0.08,0.10,0.08,0.03,0.04,0.23,0.15,0.01,0.04,0.18,0.09,0.00,0.06,0.20,0.02,0.02"
27308,"0.07,0.03,0.03,0.02,0.04,0.00,0.00,0.00,0.04,0.03,0.01,0.00,0.03,0.12,0.06,0.06,0.04,0.01,0.24,0.06,0.07,0.05,0.00,0.18,0.04,0.06,0.10,0.04,0.08,0.02,0.01,0.04,0.07,0.04,0.02,0.03,0.05,0.04,0.01,0.01,0.05,0.02,0.01,0.03,0.14,0.04,0.03,0.00,0.08,0.09,0.07,0.00,0.04,0.19,0.09,0.00,0.06,0.15,0.06,0.00,0.09,0.17,0.01,0.01"
27373,"0.02,0.01,0.04,0.00,0.04,0.03,0.02,0.00,0.04,0.04,0.02,0.01,0.00,0.14,0.08,0.06,0.00,0.00,0.23,0.09,0.08,0.06,0.01,0.16,0.02,0.07,0.10,0.04,0.08,0.03,0.03,0.05,0.05,0.04,0.01,0.03,0.04,0.06,0.02,0.01,0.07,0.04,0.01,0.00,0.12,0.04,0.02,0.00,0.08,0.11,0.07,0.00,0.05,0.18,0.12,0.00,0.04,0.12,0.04,0.00,0.09,0.17,0.02,0.03"
27441,"0.04,0.02,0.03,0.01,0.04,0.01,0.00,0.00,0.07,0.04,0.03,0.00,0.00,0.13,0.06,0.05,0.01,0.00,0.23,0.04,0.07,0.07,0.03,0.15,0.04,0.09,0.12,0.04,0.09,0.04,0.02,0.06,0.06,0.03,0.01,0.02,0.05,0.02,0.02,0.03,0.06,0.02,0.02,0.02,0.15,0.03,0.02,0.01,0.08,0.06,0.05,0.00,0.06,0.14,0.08,0.00,0.04,0.09,0.03,0.00,0.08,0.13,0.01,0.00"
27507,"0.05,0.01,0.03,0.02,0.05,0.00,0.01,0.00,0.03,0.04,0.02,0.01,0.02,0.14,0.07,0.06,0.02,0.00,0.19,0.05,0.08,0.08,0.04,0.12,0.03,0.07,0.12,0.06,0.06,0.02,0.03,0.07,0.07,0.03,0.01,0.04,0.10,0.01,0.01,0.04,0.09,0.03,0.02,0.06,0.19,0.04,0.05,0.05,0.09,0.15,0.12,0.05,0.06,0.31,0.21,0.06,0.03,0.26,0.18,0.07,0.06,0.18,0.22,1.60"
