timestamp millis,M01,M02,M03,M04,M05,M06,M07,M08
30639,0.30266666,0.099999994,0.31899998,0.21833335,0.31666666,0.2,0.120000005,0.10124999
30703,0.26333335,0.094545454,0.346,0.23,0.33666667,0.23000002,0.124,0.1125
30771,0.20199999,0.08454545,0.36699995,0.21166669,0.38666666,0.24499999,0.14400001,0.123749994
30838,0.11666666,0.07636363,0.359,0.22166665,0.39333332,0.26333332,0.15,0.13874999
30903,0.080666654,0.05363636,0.31800002,0.2516667,0.42,0.26166666,0.21,0.15875
30970,0.064666666,0.04727273,0.23099998,0.28833333,0.41333333,0.26166666,0.264,0.16875
31038,0.04933333,0.02909091,0.16800001,0.29500002,0.38,0.25166667,0.302,0.18
31102,0.085999995,0.025454545,0.11800001,0.30166668,0.38,0.19833334,0.306,0.17000002
31171,0.028666666,0.023636363,0.065,0.26000002,0.3066667,0.14666666,0.264,0.125
31236,0.053999998,0.021818181,0.057,0.11000001,0.099999994,0.068333335,0.076000005,0.02375
31303,0.05733333,0.02727273,0.049000002,0.083333336,0.05666666,0.044999998,0.036000002,0.012499999
31371,0.064666666,0.028181816,0.051999997,0.086666666,0.07333333,0.051666666,0.049999997,0.015
31435,0.064666666,0.033636365,0.060000002,0.09333333,0.06666667,0.054999996,0.038,0.0175
