timestamp millis,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Complementary_Filter_Angle_Calculated,Complementary_Filter_Angle,Kalman_Filter_Angle
11022.0,0.62,0.42,-0.97,-0.1,-0.93,0.34,0.0,-69.01,-69.53
11087.0,0.58,0.29,-0.94,-0.12,-0.94,0.33,0.0,-69.0,-69.52
11154.0,0.62,0.33,-1.03,-0.11,-0.94,0.33,0.0,-68.99,-69.5
11219.0,0.63,0.48,-1.05,-0.12,-0.94,0.32,0.0,-69.02,-69.56
11286.0,0.71,0.59,-1.13,-0.11,-0.94,0.33,0.0,-69.03,-69.59
11354.0,0.63,0.45,-1.06,-0.1,-0.93,0.33,0.0,-69.03,-69.59
11419.0,0.63,0.29,-0.98,-0.1,-0.94,0.33,0.0,-69.05,-69.64
11485.0,0.64,0.25,-1.02,-0.11,-0.94,0.33,0.0,-69.06,-69.65
11552.0,0.66,0.35,-1.05,-0.12,-0.94,0.33,0.0,-69.05,-69.63
11619.0,0.68,0.55,-1.11,-0.1,-0.93,0.33,0.0,-69.04,-69.62
11684.0,0.64,0.39,-1.04,-0.1,-0.94,0.33,0.0,-69.05,-69.64
11751.0,0.6,0.37,-0.95,-0.1,-0.94,0.34,0.0,-69.02,-69.56
11816.0,0.6,0.26,-0.92,-0.11,-0.94,0.33,0.0,-69.04,-69.61
11884.0,0.6,0.34,-0.98,-0.12,-0.94,0.33,0.0,-69.02,-69.56
11951.0,0.66,0.48,-1.02,-0.12,-0.93,0.33,0.0,-69.01,-69.53
12016.0,0.65,0.53,-1.09,-0.11,-0.93,0.33,0.0,-69.02,-69.56
12084.0,0.69,0.5,-1.06,-0.11,-0.94,0.33,0.0,-69.01,-69.55
12150.0,0.63,0.65,-1.15,-0.12,-0.94,0.33,0.0,-69.02,-69.57
12216.0,0.69,0.84,-1.28,-0.12,-0.93,0.34,0.0,-68.99,-69.51
12281.0,0.6,0.61,-1.14,-0.1,-0.93,0.34,0.0,-68.98,-69.48
12348.0,0.59,0.25,-1.02,-0.1,-0.94,0.33,0.0,-69.0,-69.54
