timestamp millis,Plantar Pressure Voltage
11816.0,"0.32,0.25,0.18,0.05,0.18,0.10,0.20,0.03,0.23,0.09,0.10,0.13,0.01,0.46,0.26,0.26,0.15,0.04,0.58,0.19,0.28,0.19,0.13,0.35,0.13,0.23,0.22,0.21,0.13,0.05,0.09,0.20,0.29,0.06,0.05,0.14,0.28,0.08,0.07,0.20,0.35,0.10,0.20,0.23,0.45,0.22,0.31,0.26,0.34,0.43,0.32,0.28,0.24,0.49,0.38,0.30,0.17,0.46,0.36,0.29,0.21,0.36,0.55,0.39"
11884.0,"0.32,0.22,0.18,0.02,0.19,0.13,0.22,0.01,0.24,0.11,0.10,0.11,0.00,0.46,0.25,0.26,0.14,0.05,0.57,0.18,0.26,0.20,0.14,0.35,0.14,0.24,0.22,0.20,0.15,0.06,0.08,0.21,0.29,0.05,0.04,0.14,0.27,0.07,0.09,0.20,0.34,0.11,0.19,0.24,0.46,0.22,0.29,0.25,0.33,0.42,0.33,0.29,0.23,0.49,0.38,0.31,0.18,0.47,0.36,0.28,0.20,0.36,0.54,0.40"
11951.0,"0.32,0.23,0.18,0.06,0.19,0.11,0.22,0.00,0.26,0.09,0.11,0.11,0.01,0.46,0.25,0.25,0.15,0.06,0.57,0.19,0.27,0.19,0.13,0.37,0.15,0.23,0.23,0.20,0.13,0.04,0.07,0.20,0.31,0.06,0.04,0.16,0.27,0.07,0.07,0.18,0.33,0.10,0.21,0.24,0.45,0.22,0.30,0.26,0.34,0.42,0.33,0.28,0.22,0.48,0.38,0.32,0.18,0.46,0.37,0.28,0.21,0.37,0.55,0.39"
12016.0,"0.31,0.24,0.18,0.06,0.19,0.11,0.21,0.00,0.24,0.11,0.11,0.12,0.01,0.45,0.25,0.26,0.15,0.04,0.57,0.19,0.27,0.19,0.12,0.35,0.14,0.24,0.24,0.20,0.13,0.04,0.08,0.21,0.28,0.07,0.03,0.16,0.28,0.08,0.07,0.18,0.34,0.10,0.20,0.23,0.46,0.23,0.30,0.25,0.35,0.43,0.32,0.27,0.23,0.49,0.39,0.30,0.18,0.46,0.38,0.27,0.21,0.38,0.55,0.38"
12084.0,"0.32,0.23,0.18,0.05,0.19,0.11,0.22,0.02,0.23,0.11,0.11,0.12,0.00,0.46,0.26,0.26,0.14,0.04,0.58,0.18,0.28,0.19,0.13,0.35,0.13,0.23,0.23,0.21,0.13,0.05,0.09,0.20,0.29,0.05,0.04,0.17,0.27,0.08,0.07,0.20,0.35,0.10,0.19,0.24,0.47,0.22,0.30,0.26,0.34,0.42,0.31,0.26,0.24,0.49,0.37,0.33,0.18,0.46,0.35,0.29,0.21,0.37,0.55,0.38"
12150.0,"0.32,0.22,0.17,0.04,0.17,0.11,0.23,0.01,0.23,0.11,0.10,0.11,0.04,0.46,0.26,0.26,0.14,0.04,0.57,0.18,0.26,0.18,0.15,0.35,0.14,0.25,0.22,0.19,0.12,0.07,0.08,0.20,0.28,0.05,0.06,0.15,0.27,0.06,0.07,0.21,0.34,0.10,0.19,0.23,0.45,0.23,0.30,0.27,0.33,0.40,0.32,0.28,0.25,0.49,0.38,0.31,0.18,0.45,0.38,0.28,0.21,0.36,0.54,0.37"
12216.0,"0.32,0.25,0.18,0.05,0.17,0.11,0.23,0.01,0.24,0.11,0.12,0.12,0.01,0.46,0.26,0.25,0.15,0.05,0.57,0.19,0.26,0.19,0.14,0.34,0.15,0.25,0.22,0.20,0.13,0.06,0.08,0.21,0.29,0.05,0.04,0.15,0.27,0.07,0.08,0.21,0.33,0.10,0.20,0.24,0.46,0.22,0.29,0.26,0.33,0.41,0.32,0.30,0.25,0.48,0.39,0.31,0.18,0.47,0.36,0.28,0.21,0.36,0.54,0.39"
12281.0,"0.33,0.24,0.16,0.06,0.18,0.11,0.21,0.00,0.25,0.10,0.09,0.11,0.03,0.46,0.26,0.26,0.14,0.05,0.58,0.19,0.27,0.19,0.13,0.35,0.14,0.26,0.22,0.20,0.12,0.04,0.08,0.20,0.29,0.04,0.04,0.17,0.27,0.08,0.07,0.20,0.35,0.10,0.19,0.26,0.46,0.23,0.29,0.26,0.35,0.42,0.31,0.27,0.23,0.48,0.37,0.30,0.18,0.47,0.34,0.27,0.22,0.37,0.55,0.38"
12348.0,"0.33,0.24,0.17,0.05,0.19,0.11,0.22,0.02,0.27,0.12,0.09,0.11,0.02,0.45,0.24,0.25,0.14,0.07,0.57,0.21,0.27,0.19,0.12,0.36,0.15,0.23,0.21,0.20,0.13,0.04,0.10,0.20,0.29,0.04,0.04,0.17,0.27,0.06,0.08,0.20,0.35,0.10,0.19,0.24,0.47,0.21,0.28,0.26,0.36,0.43,0.31,0.29,0.25,0.49,0.38,0.31,0.18,0.47,0.34,0.27,0.23,0.39,0.55,0.39"
12416.0,"0.33,0.24,0.18,0.06,0.19,0.08,0.22,0.03,0.25,0.10,0.09,0.11,0.02,0.45,0.26,0.26,0.15,0.04,0.57,0.20,0.27,0.17,0.13,0.35,0.14,0.25,0.22,0.20,0.14,0.05,0.08,0.20,0.29,0.05,0.04,0.16,0.27,0.10,0.08,0.20,0.34,0.10,0.19,0.23,0.45,0.22,0.29,0.26,0.35,0.42,0.31,0.27,0.26,0.49,0.38,0.31,0.18,0.45,0.35,0.27,0.21,0.37,0.54,0.38"
