timestamp millis,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Complementary_Filter_Angle_Calculated,Complementary_Filter_Angle,Kalman_Filter_Angle
8460.0,1.23,1.19,-1.27,0.09,-0.98,0.12,0.0,-79.65,-81.19
8524.0,1.32,0.39,-1.08,0.07,-0.99,0.12,0.0,-79.74,-81.36
8592.0,1.29,0.49,-1.17,0.08,-0.99,0.14,0.0,-79.76,-81.33
8659.0,1.06,0.53,-1.11,0.09,-0.99,0.14,0.0,-79.73,-81.2
8724.0,1.3,0.21,-0.86,0.1,-0.98,0.14,0.0,-79.68,-81.05
8792.0,1.24,0.35,-0.68,0.07,-1.0,0.14,0.0,-79.7,-81.06
8857.0,1.11,0.69,-0.83,0.07,-0.99,0.15,0.0,-79.68,-80.97
8924.0,1.02,0.57,-0.92,0.09,-0.99,0.15,0.0,-79.64,-80.83
8991.0,1.02,0.55,-0.9,0.09,-0.98,0.13,0.0,-79.65,-80.83
9056.0,1.04,0.2,-0.81,0.08,-0.98,0.15,0.0,-79.61,-80.71
9123.0,1.01,0.18,-0.85,0.08,-0.98,0.14,0.0,-79.62,-80.7
9189.0,1.06,0.18,-0.95,0.07,-0.98,0.15,0.0,-79.62,-80.69
9254.0,1.04,0.18,-0.82,0.09,-0.97,0.16,0.0,-79.55,-80.5
9322.0,0.84,0.43,-0.84,0.07,-0.98,0.16,0.0,-79.53,-80.45
9387.0,0.74,0.54,-0.94,0.08,-0.98,0.15,0.0,-79.53,-80.42
9454.0,0.81,0.59,-0.98,0.08,-0.98,0.16,0.0,-79.49,-80.31
9522.0,0.83,0.47,-0.95,0.08,-0.98,0.15,0.0,-79.48,-80.27
9586.0,0.79,0.59,-0.92,0.08,-0.98,0.15,0.0,-79.47,-80.26
9654.0,0.76,0.96,-0.8,0.08,-0.99,0.15,0.0,-79.49,-80.28
9720.0,0.9,0.52,-0.88,0.07,-0.99,0.14,0.0,-79.53,-80.37
9786.0,0.84,0.27,-0.95,0.08,-0.99,0.16,0.0,-79.48,-80.26
9853.0,0.84,0.18,-0.94,0.1,-0.98,0.15,0.0,-79.45,-80.18
9918.0,0.78,0.69,-1.13,0.06,-0.98,0.15,0.0,-79.51,-80.31
9986.0,0.88,0.5,-1.18,0.11,-0.98,0.15,0.0,-79.46,-80.2
10051.0,0.87,0.09,-0.76,0.09,-0.99,0.15,0.0,-79.42,-80.12
10118.0,0.84,0.27,-0.82,0.07,-0.98,0.14,0.0,-79.48,-80.25
10185.0,0.9,0.39,-0.95,0.07,-0.98,0.15,0.0,-79.5,-80.3
10251.0,0.89,0.7,-0.95,0.09,-0.98,0.14,0.0,-79.5,-80.3
10317.0,0.87,0.6,-0.9,0.08,-0.98,0.14,0.0,-79.52,-80.34
10385.0,0.82,0.61,-0.87,0.07,-0.99,0.14,0.0,-79.55,-80.4
10449.0,0.76,0.5,-0.83,0.08,-0.98,0.14,0.0,-79.56,-80.43
